,_9m
1174,0.4334006421235097
1175,0.43459326329710546
1176,0.4363239504492924
1177,0.43816514171871024
1178,0.43899886897261986
1179,0.44100671049347895
1180,0.44301535488537525
1181,0.443329795864285
1182,0.4429898929525802
1183,0.4433479290559541
1184,0.4430413613294162
1185,0.44223056162426033
1186,0.44141942139223556
1187,0.44076784587346474
1188,0.4383330485983352
1189,0.43559499374960176
1190,0.43393711926631173
1191,0.4316043128812943
1192,0.4284851732299675
1193,0.42536467370481645
1194,0.42244180390991826
1195,0.4190575653283215
1196,0.414284065647581
1197,0.41004750674077517
1198,0.40563442419617957
1199,0.40166881910413466
1200,0.39770144214834424
1201,0.3936622160583614
1202,0.38958555624336366
1203,0.38550564195524384
1204,0.38292637373985006
1205,0.3792088426596516
1206,0.3753571645668563
1207,0.37150374066313496
1208,0.3725122067615274
1209,0.3685339756473667
1210,0.36370350706685795
1211,0.3595297765041332
1212,0.3578335435775015
1213,0.3554825781124711
1214,0.3531305498005466
1215,0.3507774579244547
1216,0.34625725184373746
1217,0.3427031863197936
1218,0.3382200503068509
1219,0.33377516619092873
1220,0.32917909139562607
1221,0.3245810236011488
1222,0.3199809615093603
1223,0.3154184002063687
1224,0.31124291397469506
1225,0.3082280599906424
1226,0.30470945270756555
1227,0.30138683890318596
1228,0.2980628227599089
